Date,BTC_Price,BTC_Volume,ETH_Price,ETH_Volume,NVDA_Close,NVDA_Volume,AMD_Close,AMD_Volume,INTC_Close,INTC_Volume,GPU_Stock_Index,GPU_Launch_Dates,Regulatory_Event_Flag,Military_Spending_Flag,Regulatory_Stringency_Index,Defense_AI_Budget_Billions,Global_Regulatory_Index,Cybersecurity_Threat_Level,BTC_MA_7,BTC_MA_30,ETH_MA_7,GPU_MA_7,BTC_Momentum,ETH_Momentum,GPU_Momentum,NVDA_Momentum,BTC_Volatility,GPU_Volatility,BTC_Price_Lag1,ETH_Price_Lag1,GPU_Price_Lag1,BTC_Volume_MA,BTC_to_GPU_Ratio,ETH_to_GPU_Ratio,Gov_Crypto_Interaction,Military_GPU_Demand,Reg_Stringency_GPU_Impact,GPU_Price_Category,Cluster
2019-01-30,3486.181640625,5955112627,108.90753936767578,2874370355,3.406362295150757,974228000.0,23.09000015258789,211421200.0,40.9139289855957,26931700.0,109.5883623874265,0,0,0,20.0,4.2,36.0,40.0,3541.6866629464284,3709.68037109375,112.10442570277624,109.24202400911904,0.0110392709675732,0.0313388462903139,0.1035402692033156,0.043996830739865,69.84149448795631,5.747326167238356,3448.116943359375,105.59821319580078,99.30617436058058,5708407912.714286,31.52394669171235,0.984801085905746,0.0,0.0,2.735256995799129,Low,0
2019-01-31,3457.792724609375,5831198271,107.0610122680664,2828796031,3.5640485286712646,842852000.0,24.40999984741211,182575600.0,40.55247116088867,43051300.0,114.08155086274644,0,0,0,20.0,4.2,36.0,40.0,3521.2476981026784,3696.822794596354,110.63272966657368,109.57109281306192,-0.0081432693250416,-0.0169549978847234,0.0410005987628068,0.0462916800555792,70.56770720875954,5.978043705513293,3486.181640625,108.90753936767578,109.5883623874265,5789597802.0,30.04645574105408,0.9303056090698166,0.0,0.0,2.84740417039705,Low,0
2019-02-01,3487.9453125,5422926707,107.60978698730467,2541271519,3.5883452892303467,625048000.0,24.51000022888184,105356200.0,41.93806838989258,37442900.0,115.2656803751212,0,0,0,20.0,4.2,36.0,40.0,3505.2733328683034,3681.640657552083,109.3800789969308,109.80974490803014,0.008720183739189,0.0051258129137077,0.0103796757970042,0.0068171800590326,61.96301463427459,6.19487587630892,3457.792724609375,107.0610122680664,114.08155086274644,5812037683.142858,29.999784125861087,0.9255507441242417,0.0,0.0,2.8769593025488094,Low,0
2019-02-02,3521.060791015625,5071623601,110.43025970458984,2385157838,3.5883452892303467,625048000.0,24.51000022888184,105356200.0,41.93806838989258,37442900.0,115.2656803751212,0,0,0,20.0,4.2,36.0,40.0,3493.6448102678573,3671.1179768880206,108.51458195277624,110.04839700299836,0.009494265405179,0.026210187718501,0.0,0.0,46.35702316542488,6.393987262658958,3487.9453125,107.60978698730467,115.2656803751212,5808243449.714286,30.284610038450086,0.9498096028707363,0.0,0.0,2.8769593025488094,Low,0
2019-02-03,3464.013427734375,5043937584,107.49266815185548,2519334757,3.5883452892303467,625048000.0,24.51000022888184,105356200.0,41.93806838989258,37442900.0,115.2656803751212,0,0,0,20.0,4.2,36.0,40.0,3476.508754185268,3657.9945068359375,107.669921875,110.28704909796654,-0.0162017547174455,-0.0266013279384895,0.0,0.0,24.35318127562194,6.576987495923909,3521.060791015625,110.43025970458984,115.2656803751212,5732984109.428572,29.79394621489363,0.9245434061456456,0.0,0.0,2.8769593025488094,Low,0
2019-02-04,3459.154052734375,5332718886,107.82160186767578,2491888675,3.698676586151123,528592000.0,24.1299991607666,70843800.0,42.35977935791016,20905000.0,115.97333389392668,0,0,0,20.0,4.2,36.0,40.0,3474.8949846540177,3645.126489257813,107.84586879185268,112.10663751857768,-0.0014028164443861,0.0030600572250714,0.0061393253959243,0.0307471238210861,25.181730645502345,6.041300157802183,3464.013427734375,107.49266815185548,115.2656803751212,5507811024.142858,29.57215920571429,0.921762236557694,0.0,0.0,2.894621891857988,Low,0
2019-02-05,3466.357421875,5227549545,107.44351959228516,2515863999,3.7177674770355225,542424000.0,23.309999465942383,122226000.0,43.03966522216797,31641600.0,114.79313460177536,0,0,0,20.0,4.2,36.0,40.0,3477.500767299108,3624.783984375,108.10948399135044,114.31906041017696,0.0020824077305636,-0.0035065540563441,-0.010176471198377,0.0051615464179488,22.77796124213691,2.163544535395801,3459.154052734375,107.82160186767578,115.97333389392668,5412152460.142858,29.93577670900925,0.9278919683951437,0.0,0.0,2.865164855545303,Low,0
2019-02-06,3413.767822265625,5482196038,104.9192886352539,2593048199,3.793387889862061,702464000.0,23.26000022888184,78684300.0,43.21721649169922,21647800.0,115.67018054153174,0,0,0,20.0,4.2,36.0,40.0,3467.155936104911,3604.401302083333,107.53973388671876,115.18789157504912,-0.0151714301812906,-0.0234935617020917,0.0076402299039823,0.0203402749885899,32.53315002674286,0.6120319184720638,3466.357421875,107.44351959228516,114.79313460177536,5344592947.428572,29.259985768603546,0.8992811029199119,0.0,0.0,2.88705537375448,Low,0
2019-02-07,3399.4716796875,5004962683,104.5353012084961,2326764622,3.655040264129639,637120000.0,22.670000076293945,86723900.0,42.63693237304688,27825900.0,112.4918959456376,0,0,0,20.0,4.2,36.0,40.0,3458.8243582589284,3583.355428059896,107.17891802106584,114.96079801546216,-0.0041877899501193,-0.0036598363537587,-0.0274771300694302,-0.0364707300569393,41.54920299158835,1.1497029097291425,3413.767822265625,104.9192886352539,115.67018054153174,5226559292.0,29.95343104776257,0.921081636159892,0.0,0.0,2.807727377732181,Low,0
2019-02-08,3666.7802734375,7735623101,119.26774597167967,3656841347,3.6736347675323486,461604000.0,23.049999237060547,78129300.0,42.29917144775391,18851200.0,113.35262112900595,0,0,0,20.0,4.2,36.0,40.0,3484.3722098214284,3571.0715576171874,108.84434073311942,114.68750383744568,0.0786323931883947,0.1409327240928848,0.0076514416983808,0.0050873593884026,89.61659189853138,1.2846109900520235,3399.4716796875,104.5353012084961,112.4918959456376,5556944491.142858,32.06555509821548,1.0429821791065792,0.0,0.0,2.829210540067846,Low,0
