Date,BTC_Price,BTC_Volume,ETH_Price,ETH_Volume,NVDA_Close,NVDA_Volume,AMD_Close,AMD_Volume,INTC_Close,INTC_Volume,GPU_Stock_Index,GPU_Launch_Dates
2019-01-01,3843.52001953125,4324200990,140.8194122314453,2258709868,3.377354145050049,,18.829999923706055,,40.518043518066406,,100.0,1
2019-01-02,3943.409423828125,5244856836,155.0476837158203,3328240369,3.377354145050049,508752000.0,18.829999923706055,87148700.0,40.518043518066406,18774600.0,100.0,0
2019-01-03,3836.7412109375,4530215219,149.135009765625,2676164880,3.173305034637451,705552000.0,17.049999237060547,117277600.0,38.28903579711914,32267300.0,92.7018698064745,0
2019-01-04,3857.717529296875,4847965467,154.58193969726562,3126192535,3.376610517501831,585620000.0,19.0,111878600.0,40.6385383605957,35447300.0,100.41179593398584,0
2019-01-05,3845.194580078125,5137609824,155.6385955810547,3338211928,3.376610517501831,,19.0,,40.6385383605957,,100.41179593398584,0
2019-01-06,4076.632568359375,5597027440,157.74620056152344,3231294371,3.376610517501831,,19.0,,40.6385383605957,,100.41179593398584,0
2019-01-07,4025.248291015625,5228625637,151.69921875,2712108388,3.555371046066284,709160000.0,20.56999969482422,107157000.0,40.82786178588867,22736800.0,105.95751679859299,0
2019-01-08,4030.847900390625,5306593305,150.35963439941406,2459808140,3.4668586254119873,786016000.0,20.75,121271000.0,41.0860595703125,22749200.0,105.41902942896907,0
2019-01-09,4035.29638671875,5115905225,150.80311584472656,2369241197,3.5350401401519775,617260000.0,20.190000534057617,163944100.0,41.31842041015625,22554500.0,105.15164842652051,0
2019-01-10,3678.924560546875,6874143796,128.62518310546875,3397734456,3.600743055343628,523156000.0,19.739999771118164,115629400.0,41.79176330566406,27202600.0,105.20752931702063,0
2019-01-11,3687.365478515625,5538712865,127.54832458496094,2667585234,3.6899986267089844,874764000.0,20.270000457763672,85110800.0,42.110198974609375,21751300.0,107.54768237053499,0
2019-01-12,3661.301025390625,4778170883,125.9665298461914,2212109224,3.6899986267089844,,20.270000457763672,,42.110198974609375,,107.54768237053499,0
2019-01-13,3552.953125,4681302466,116.8978042602539,2268263944,3.6899986267089844,,20.270000457763672,,42.110198974609375,,107.54768237053499,0
2019-01-14,3706.05224609375,5651384490,129.0687255859375,2798085735,3.7299160957336426,730168000.0,20.229999542236328,71350200.0,41.61103439331055,19193900.0,107.6890845414672,0
2019-01-15,3630.67529296875,5537192302,122.03271484375,2735449164,3.7157840728759766,617012000.0,20.3799991607666,62785800.0,41.82619094848633,22480800.0,107.94655314118863,1
2019-01-16,3655.0068359375,5394457145,123.54706573486328,2746469340,3.690246820449829,470104000.0,19.729999542236328,70849300.0,41.42169189453125,19057700.0,106.06366215792335,0
2019-01-17,3678.56396484375,5464420383,123.7419204711914,2594091285,3.7616519927978516,493436000.0,20.25,85018400.0,41.71430206298828,17448700.0,108.1584115540319,0
2019-01-18,3657.83935546875,5002961727,121.01026153564453,2305389800,3.8908252716064453,651336000.0,20.770000457763672,88131000.0,42.33395004272461,29874600.0,111.0987709905072,0
2019-01-19,3728.568359375,5955691380,124.5190200805664,3048261797,3.8908252716064453,,20.770000457763672,,42.33395004272461,,111.0987709905072,0
2019-01-20,3601.013671875,5582489560,119.4748306274414,2964108269,3.8908252716064453,,20.770000457763672,,42.33395004272461,,111.0987709905072,0
